Student ID,Placement 1,Placement 2,Year
S381,CH4020,PH4020,Senior
S382,CH4020,PH4020,Senior
S383,CH3500,PH4020,Senior
S384,CH4020,PH4020,Senior
S385,CH4020,PH4020,Senior
S386,CH4020,PH3500,Senior
S387,CH3500,PH3500,Senior
S388,CH4020,PH3500,Senior
S389,CH4020,PH4020,Senior
S390,CH3500,PH3500,Senior
S391,CH3500,PH4020,Senior
S392,CH4020,PH4020,Senior
S393,CH4020,PH3500,Senior
S394,CH3500,PH3500,Senior
S395,CH3500,PH3500,Senior
S396,CH4020,PH4020,Senior
S397,CH4020,PH3500,Senior
S398,CH4020,PH4020,Senior
S399,CH4020,PH4020,Senior
S400,CH4020,PH3500,Senior
S401,CH3500,PH4020,Senior
S402,CH4020,PH3500,Senior
S403,CH4020,PH4020,Senior
S404,CH4020,PH4020,Senior
S405,CH4020,PH3500,Senior
S406,CH3500,PH4020,Senior
S407,CH4020,PH4020,Senior
S408,CH3500,PH3500,Senior
S409,CH4020,PH4020,Senior
S411,CH4020,PH4020,Senior
S412,CH3500,PH3500,Senior
S413,CH4020,PH4020,Senior
S414,CH4020,PH4020,Senior
S415,CH4020,PH4020,Senior
S416,CH4020,PH4020,Senior
S417,CH4020,PH3500,Senior
S418,CH4020,PH4020,Senior
S419,CH3500,PH4020,Senior
S420,CH4020,PH4020,Senior
S421,CH4020,PH4020,Senior
S422,CH3500,PH3500,Senior
S423,CH4020,PH4020,Senior
S424,CH4020,PH3500,Senior
S425,CH3500,PH3500,Senior
S426,CH3500,PH4020,Senior
S427,CH4020,PH4020,Senior
S428,CH3500,PH4020,Senior
S429,CH3500,PH3500,Senior
S430,CH4020,PH4020,Senior
S431,CH3500,PH4020,Senior
S432,CH3500,PH3500,Senior
S433,CH3500,PH3500,Senior
S434,CH3500,PH3500,Senior
S435,CH3500,PH3500,Senior
S436,CH4020,PH3500,Senior
S437,CH4020,PH4020,Senior
S438,CH4020,PH4020,Senior
S439,CH4120,PH4020,Senior
S440,CH4020,PH3500,Senior
S441,CH4020,PH4020,Senior
S442,CH3500,PH4020,Senior
S443,CH4020,PH4020,Senior
S444,EXEMPT,PH4240,Senior
S445,CH4020,PH3500,Senior
S446,CH4020,PH4020,Senior
S447,CH3500,PH4020,Senior
S448,CH4020,PH4020,Senior
S449,CH4020,PH4020,Senior
S450,CH3500,PH4020,Senior
S451,CH4020,PH4020,Senior
S452,CH4020,PH3500,Senior
S453,CH3500,PH3500,Senior
S454,CH4020,PH4020,Senior
S455,CH4020,PH3500,Senior
S456,CH4020,PH4020,Senior
S457,CH3500,PH3500,Senior
S458,CH4020,PH4020,Senior
S459,CH4020,PH4020,Senior
S460,CH3500,PH4020,Senior
S461,CH3500,PH4020,Senior
S462,CH4020,PH4020,Senior
S463,CH4020,PH4020,Senior
S464,CH4020,PH3500,Senior
S465,CH4020,PH4020,Senior
S466,CH4020,PH4020,Senior
S467,CH3500,PH3500,Senior
S468,CH4020,PH4020,Senior
S469,CH3500,PH3500,Senior
S470,CH3500,PH3500,Senior
S471,CH4020,PH4020,Senior
S472,CH3500,PH3500,Senior
S473,CH3500,PH3500,Senior
S474,CH4020,PH4020,Senior
S475,CH4020,PH3500,Senior
S476,CH3500,PH3500,Senior
S477,CH4020,PH3500,Senior
S478,CH4020,PH4020,Senior
S479,CH4020,PH4020,Senior
S480,CH3500,PH3500,Senior
S481,CH4020,PH3500,Senior
S482,CH4020,PH4020,Senior
S483,CH4020,PH4020,Senior
S484,CH4020,PH3500,Senior
S486,CH4020,PH3500,Senior
S488,CH4020,PH4020,Senior
S489,CH4120,PH4020,Senior
S490,CH4020,PH3500,Senior
S491,CH3500,PH3500,Senior
S492,CH4020,PH4020,Senior
S493,CH3500,PH4020,Senior
S494,CH4020,PH4020,Senior
S495,EXEMPT,PH4020,Senior
S496,CH4020,PH4020,Senior
S497,CH3500,PH4020,Senior
S498,CH4020,PH4020,Senior
S499,CH4020,PH4020,Senior
S500,CH3500,PH3500,Senior
