Class,Course,Section,Course code,School level,Start term,Block,Max class size
HU4400 Black Studies - HU4400-002,HU4400 Black Studies,HU4400-002,HU4400,NCSSM Durham,2nd Semester,B14L5,20
HU4411 Critical Legal Studies - HU4411-002,HU4411 Critical Legal Studies,HU4411-002,HU4411,NCSSM Durham,2nd Semester,B14L5,20
HU4420 Digital Humanities - HU4420-002,HU4420 Digital Humanities,HU4420-002,HU4420,NCSSM Durham,2nd Semester,D135L,20
HU4440 Film Studies - HU4440-002,HU4440 Film Studies,HU4440-002,HU4440,NCSSM Durham,2nd Semester,C13L5,20
HU4461 Topics in Humanities II - HU4461-001,HU4461 Topics in Humanities II,HU4461-001,HU4461,NCSSM Durham,2nd Semester,A12L4,20
"HU4490 Women's, Gender, and Sexuality Studies - HU4490-001","HU4490 Women's, Gender, and Sexuality Studies",HU4490-001,HU4490,NCSSM Durham,2nd Semester,D135L,20
JA3052 Journeys into Japanese II - JA3052-001,JA3052 Journeys into Japanese II,JA3052-001,JA3052,NCSSM Durham,2nd Semester,C13L5,30
JA3652 Navigating in Japanese II - JA3652-001,JA3652 Navigating in Japanese II,JA3652-001,JA3652,NCSSM Durham,2nd Semester,D135L,30
LA3052 Latin Elements II - LA3052-001,LA3052 Latin Elements II,LA3052-001,LA3052,NCSSM Durham,2nd Semester,C13L5,20
LA4050 Caesar in Gaul and Britannia - LA4050-001,LA4050 Caesar in Gaul and Britannia,LA4050-001,LA4050,NCSSM Durham,2nd Semester,D135L,20
LA4652 Sallust and Cicero II - LA4652-001,LA4652 Sallust and Cicero II,LA4652-001,LA4652,NCSSM Durham,2nd Semester,E135L,30
MA1000 Precalculus Co-Requisite - MA1000-001,MA1000 Precalculus Co-Requisite,MA1000-001,MA1000,NCSSM Durham,2nd Semester,M5,99
MA1012 Calculus Ib Exam Prep - MA1012-001,MA1012 Calculus Ib Exam Prep,MA1012-001,MA1012,NCSSM Durham,2nd Semester,I4,99
MA1044 Calculus II Exam Prep - MA1044-001,MA1044 Calculus II Exam Prep,MA1044-001,MA1044,NCSSM Durham,2nd Semester,I3,60
MA1044 Calculus II Exam Prep - MA1044-002,MA1044 Calculus II Exam Prep,MA1044-002,MA1044,NCSSM Durham,2nd Semester,H4,60
MA1044 Calculus II Exam Prep - MA1044-003,MA1044 Calculus II Exam Prep,MA1044-003,MA1044,NCSSM Durham,2nd Semester,H3,60
MA4002 Precalculus & Modeling w/ Advanced Topics II - MA4002-001,MA4002 Precalculus & Modeling w/ Advanced Topics II,MA4002-001,MA4002,NCSSM Durham,2nd Semester,C13L45,22
MA4002 Precalculus & Modeling w/ Advanced Topics II - MA4002-002,MA4002 Precalculus & Modeling w/ Advanced Topics II,MA4002-002,MA4002,NCSSM Durham,2nd Semester,D1235L,22
